question_id,family,domain,language,source_citation,source_snapshot_date,licence,question_text,option_0,option_1,option_2,option_3,option_4,option_5,option_6,option_7,option_8,option_9,gold_answer,language_variant_of,tool_required
A-KNOW-01-en,A,knowledge,en,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,The heart does not extract oxygen and nutrients from the blood within the atria and ventricles. How is the heart sup-plied with its metabolic needs?,The heart synthesizes its own nutrients internally without reliance on external sources.,The heart relies on neural control for its metabolic needs.,The heart extracts nutrients from the atria and ventricles.,The heart's metabolic needs are met by the lymphatic system.,The heart depends on its own blood supply from the coronary vessels.,The heart utilizes osmosis to draw nutrients from the surrounding tissues.,The heart absorbs nutrients directly from the pericardial fluid.,The heart gets its metabolic needs from the lungs.,The heart is supplied by diffusion of nutrients from the bloodstream within the chambers.,The heart receives its metabolic needs from the aorta directly.,E,,no
A-KNOW-01-de,A,knowledge,de,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,Das Herz entnimmt keinen Sauerstoff und keine Nährstoffe aus dem Blut in den Vorhöfen und Ventrikeln. Wie wird der Stoffwechselbedarf des Herzens gedeckt?,Das Herz synthetisiert seine eigenen Nährstoffe intern ohne Abhängigkeit von äußeren Quellen.,Das Herz ist für seinen Stoffwechselbedarf auf neurale Kontrolle angewiesen.,Das Herz entnimmt Nährstoffe aus den Vorhöfen und Ventrikeln.,Der Stoffwechselbedarf des Herzens wird durch das Lymphsystem gedeckt.,Das Herz ist von seiner eigenen Blutversorgung durch die Koronargefäße abhängig.,"Das Herz nutzt Osmose, um Nährstoffe aus dem umliegenden Gewebe zu ziehen.",Das Herz nimmt Nährstoffe direkt aus der Perikardflüssigkeit auf.,Das Herz erhält seinen Stoffwechselbedarf aus der Lunge.,Das Herz wird durch Diffusion von Nährstoffen aus dem Blutstrom innerhalb der Kammern versorgt.,Das Herz erhält seinen Stoffwechselbedarf direkt aus der Aorta.,E,A-KNOW-01-en,no
A-KNOW-01-sw,A,knowledge,sw,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,"Je, moyo hauchukui oksijeni na virutubisho kutoka kwa damu iliyo ndani ya vyumba vya atria na ventrikali. Je, moyo unakidhi vipi mahitaji yake ya kimetaboliki?",Moyo hutengeneza virutubisho vyake mwenyewe ndani bila kutegemea vyanzo vya nje.,Moyo hutegemea udhibiti wa neva kwa mahitaji yake ya kimetaboliki.,Moyo huchukua virutubisho kutoka kwa atria na ventrikali.,Mahitaji ya kimetaboliki ya moyo hukidhiwa na mfumo wa limfu.,Moyo hutegemea usambazaji wake wa damu kutoka kwa mishipa ya moyo.,Moyo hutumia difyusheni kuvuta virutubisho kutoka kwa tishu zinazozunguka.,Moyo huchukua virutubisho moja kwa moja kutoka kwa maji ya perikadi.,Moyo hupata mahitaji yake ya kimetaboliki kutoka kwa mapafu.,Moyo hupokea virutubisho kwa njia ya difyusheni kutoka kwa damu ndani ya vyumba vyake.,Moyo hupata mahitaji yake ya kimetaboliki moja kwa moja kutoka kwa aorta.,E,A-KNOW-01-en,no
A-KNOW-01-bn,A,knowledge,bn,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,হৃদপিণ্ড অলিন্দ এবং নিলয় থেকে রক্তের মধ্যে থেকে অক্সিজেন এবং পুষ্টি উপাদান গ্রহণ করে না। হৃদপিণ্ডের বিপাকীয় চাহিদা কীভাবে পূরণ করা হয়?,হৃদপিণ্ড বাহ্যিক উৎসের উপর নির্ভর না করে নিজেই অভ্যন্তরীণভাবে পুষ্টি উপাদান তৈরি করে।,হৃদপিণ্ড তার বিপাকীয় চাহিদার জন্য স্নায়বিক নিয়ন্ত্রণের উপর নির্ভর করে।,হৃদপিণ্ড অলিন্দ এবং নিলয় থেকে পুষ্টি উপাদান গ্রহণ করে।,হৃদপিণ্ডের বিপাকীয় চাহিদা লসিকা তন্ত্র দ্বারা পূরণ করা হয়।,হৃদপিণ্ড করোনারি রক্তবাহী নালী থেকে নিজস্ব রক্ত সরবরাহের উপর নির্ভর করে।,হৃদপিণ্ড আশেপাশের টিস্যু থেকে অভিস্রবণের মাধ্যমে পুষ্টি উপাদান গ্রহণ করে।,হৃদপিণ্ড পেরিকার্ডিয়াল তরল থেকে সরাসরি পুষ্টি উপাদান শোষণ করে।,হৃদপিণ্ড ফুসফুস থেকে তার বিপাকীয় চাহিদা পূরণ করে।,হৃদপিণ্ড কক্ষের মধ্যে রক্তপ্রবাহ থেকে বিসরণের মাধ্যমে পুষ্টি উপাদান সরবরাহ করা হয়।,হৃদপিণ্ড মহাধমনী থেকে সরাসরি তার বিপাকীয় চাহিদা পূরণ করে।,E,A-KNOW-01-en,no
A-KNOW-02-en,A,knowledge,en,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,How might you argue that the transmission of impulses does occur in plants?,Impulse transmission in plants can be seen in the photosynthesis process.,"Plants exhibit impulse transmission during pollination, when they attract pollinators to their flowers.","The release of chemical signals in response to herbivore damage, triggering defense mechanisms, is an example of impulse transmission in plants.","The reaction of the sensitive plant, Mimosa pudica, to touch demonstrates that transmission of impulses does indeed occur in plants.",The opening and closing of stomata in response to environmental stimuli indicate impulse transmission in plants.,The movement of chloroplasts within plant cells in response to light demonstrates impulse transmission.,The transmission of impulses in plants can be observed through the growth of roots.,"The process of fruit ripening, which involves a complex interplay of hormones, is a form of impulse transmission in plants.","The bending of plant stems toward a light source, known as phototropism, is evidence of impulse transmission.",The seed germination process proves the transmission of impulses in plants.,D,,no
A-KNOW-02-de,A,knowledge,de,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,"Wie könnte man argumentieren, dass die Übertragung von Impulsen auch bei Pflanzen stattfindet?",Die Impulsübertragung bei Pflanzen ist im Photosyntheseprozess zu beobachten.,"Pflanzen zeigen Impulsübertragung während der Bestäubung, wenn sie Bestäuber zu ihren Blüten anlocken.","Die Freisetzung chemischer Signale als Reaktion auf Fraßschäden, die Abwehrmechanismen auslöst, ist ein Beispiel für Impulsübertragung bei Pflanzen.","Die Reaktion der Mimosa pudica auf Berührung zeigt, dass die Übertragung von Impulsen tatsächlich bei Pflanzen vorkommt.",Das Öffnen und Schließen der Spaltöffnungen als Reaktion auf Umweltreize deutet auf Impulsübertragung bei Pflanzen hin.,Die Bewegung von Chloroplasten innerhalb der Pflanzenzellen als Reaktion auf Licht zeigt Impulsübertragung.,Die Übertragung von Impulsen bei Pflanzen lässt sich durch das Wurzelwachstum beobachten.,"Der Prozess der Fruchtreifung, der ein komplexes Zusammenspiel von Hormonen beinhaltet, ist eine Form der Impulsübertragung bei Pflanzen.","Die Krümmung von Pflanzenstängeln zum Licht hin, bekannt als Phototropismus, ist ein Beweis für Impulsübertragung.",Der Keimungsprozess von Samen beweist die Übertragung von Impulsen bei Pflanzen.,D,A-KNOW-02-en,no
A-KNOW-02-sw,A,knowledge,sw,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,Unaweza vipi kusema kwamba upokezaji wa misukumo hutokea katika mimea?,Upokezaji wa misukumo katika mimea unaweza kuonekana katika mchakato wa usanisinuru.,"Mimea huonyesha upokezaji wa misukumo wakati wa uchavushaji, wanapovutia wachavushaji kwenye maua yao.","Utoaji wa ishara za kemikali kwa kukabiliana na uharibifu wa wanyama walaji wa mimea, unaosababisha mifumo ya kujilinda, ni mfano wa upokezaji wa misukumo katika mimea.","Majibu ya mmea nyeti, Mimosa pudica, kwa kuguswa yanaonyesha kwamba upokezaji wa misukumo kwa kweli hutokea katika mimea.",Kufunguka na kufungwa kwa stomata kwa kukabiliana na vichocheo vya mazingira kunaonyesha upokezaji wa misukumo katika mimea.,Harakati za kloroplasti ndani ya seli za mimea kwa kukabiliana na mwanga zinaonyesha upokezaji wa misukumo.,Upokezaji wa misukumo katika mimea unaweza kuonekana kupitia ukuaji wa mizizi.,"Mchakato wa kukomaa kwa matunda, unaojumuisha mwingiliano mgumu wa homoni, ni aina ya upokezaji wa misukumo katika mimea.","Kupinda kwa shina za mimea kuelekea chanzo cha mwanga, kunakofahamika kama fototropizimu, ni ushahidi wa upokezaji wa misukumo.",Mchakato wa kuota kwa mbegu unathibitisha upokezaji wa misukumo katika mimea.,D,A-KNOW-02-en,no
A-KNOW-02-bn,A,knowledge,bn,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,কীভাবে আপনি যুক্তি দেখাবেন যে উদ্দীপনার সঞ্চালন উদ্ভিদে ঘটে?,উদ্ভিদে উদ্দীপনার সঞ্চালন সালোকসংশ্লেষণ প্রক্রিয়ায় দেখা যায়,"উদ্ভিদ পরাগায়নের সময় উদ্দীপনার সঞ্চালন প্রদর্শন করে, যখন তারা পরাগায়নকারীদের তাদের ফুলের দিকে আকর্ষণ করে","তৃণভোজী ক্ষতির প্রতিক্রিয়ায় রাসায়নিক সংকেত নির্গমন, যা প্রতিরক্ষা ব্যবস্থাকে সক্রিয় করে, এটি উদ্ভিদে উদ্দীপনা সঞ্চালনের একটি উদাহরণ",লজ্জাবতী লতার স্পর্শে প্রতিক্রিয়া প্রমাণ করে যে উদ্ভিদে উদ্দীপনার সঞ্চালন অবশ্যই ঘটে,পরিবেশগত উদ্দীপকের প্রতিক্রিয়ায় পত্ররন্ধ্রের খোলা ও বন্ধ হওয়া উদ্ভিদে উদ্দীপনা সঞ্চালন নির্দেশ করে,আলোর প্রতিক্রিয়ায় উদ্ভিদ কোষের মধ্যে ক্লোরোপ্লাস্টের চলাচল উদ্দীপনা সঞ্চালন প্রদর্শন করে,উদ্ভিদে উদ্দীপনার সঞ্চালন মূলের বৃদ্ধির মাধ্যমে পর্যবেক্ষণ করা যায়,"ফল পাকার প্রক্রিয়া, যা হরমোনের জটিল আন্তঃক্রিয়া জড়িত, এটি উদ্ভিদে উদ্দীপনা সঞ্চালনের একটি রূপ","আলোর উৎসের দিকে উদ্ভিদের কাণ্ডের বাঁকা হওয়া, যা আলোকানুবর্তন নামে পরিচিত, এটি উদ্দীপনা সঞ্চালনের প্রমাণ",বীজ অঙ্কুরোদগম প্রক্রিয়া উদ্ভিদে উদ্দীপনার সঞ্চালন প্রমাণ করে,D,A-KNOW-02-en,no
A-KNOW-03-en,A,knowledge,en,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,"What basic nutritional requirements do all living organisms have in common? Compare phototrophs and chemotrophs, autotrophs and heterotrophs.",Only animals and plants have basic nutritional requirements.,All organisms can derive their nutritional needs from consuming other organisms and do not require any specific elements or compounds for growth.,All organisms require only sunlight and carbon dioxide for growth.,"All organisms require a source of energy and vitamins, but do not need a carbon source or water for growth.","Organisms require a source of energy, a carbon source, and water, but do not need nitrogen or vitamins for growth.",Organisms require only water and energy for growth.,Carbon and nitrogen are the only necessary nutrients for organisms.,"Only autotrophs require a carbon source and a nitrogen source, while heterotrophs can survive on energy alone.","All organisms require a source of energy, a carbon source, a nitrogen source, sulfur and phosphorous, certain metallic elements, vitamins, and water for growth.","Only phototrophs have basic nutritional requirements, while chemotrophs do not require any nutrients.",I,,no
A-KNOW-03-de,A,knowledge,de,"li-lab/MMLU-ProX, HF release",2026-09-03,MIT,"Welche grundlegenden Ernährungsanforderungen haben alle Lebewesen gemeinsam? Vergleichen Sie Phototrophe und Chemotrophe, Autotrophe und Heterotrophe.",Nur Tiere und Pflanzen haben grundlegende Ernährungsanforderungen.,Alle Organismen können ihren Nährstoffbedarf durch den Verzehr anderer Organismen decken und benötigen keine spezifischen Elemente oder Verbindungen zum Wachstum.,Alle Organismen benötigen nur Sonnenlicht und Kohlendioxid zum Wachstum.,"Alle Organismen benötigen eine Energiequelle und Vitamine, aber keine Kohlenstoffquelle oder Wasser zum Wachstum.","Organismen benötigen eine Energiequelle, eine Kohlenstoffquelle und Wasser, aber keinen Stickstoff oder Vitamine zum Wachstum.",Organismen benötigen nur Wasser und Energie zum Wachstum.,Kohlenstoff und Stickstoff sind die einzigen notwendigen Nährstoffe für Organismen.,"Nur Autotrophe benötigen eine Kohlenstoff- und Stickstoffquelle, während Heterotrophe allein von Energie leben können.","Alle Organismen benötigen eine Energiequelle, eine Kohlenstoffquelle, eine Stickstoffquelle, Schwefel und Phosphor, bestimmte metallische Elemente, Vitamine und Wasser zum Wachstum.","Nur Phototrophe haben grundlegende Ernährungsanforderungen, während Chemotrophe keine Nährstoffe benötigen.",I,A-KNOW-03-en,no
