question_id,family,domain,language,question_text,gold_answer,language_variant_of,perturbation_type,review_status,source_citation,source_snapshot_date,licence
E-KNOW-01,E,knowledge,en,"The cardiac muscle itself needs a constant supply of oxygen and nutrients, but it cannot absorb them from the blood passing through its own chambers. What circulatory mechanism actually meets this need?",The heart depends on its own blood supply from the coronary vessels.,A-KNOW-01-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-01-en),2026-09-08,MIT (underlying source)
E-KNOW-02,E,knowledge,en,"Plants have no nervous system, yet some show rapid, coordinated responses to a stimulus. What observation is usually cited as evidence that plants can still propagate a signal internally?","The reaction of the sensitive plant, Mimosa pudica, to touch demonstrates that transmission of impulses does indeed occur in plants.",A-KNOW-02-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-02-en),2026-09-08,MIT (underlying source)
E-KNOW-05-en,E,knowledge,en,"In a population, individuals with extreme trait values — both unusually large and unusually small — become less common over generations relative to individuals near the average. What type of natural selection produces this pattern?",Stabilizing selection,A-KNOW-04-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-04-en),2026-09-15,MIT (underlying source)
E-KNOW-05-de,E,knowledge,de,In einer Population werden Individuen mit extremen Merkmalsausprägungen — sowohl ungewöhnlich große als auch ungewöhnlich kleine — im Laufe der Generationen im Vergleich zu Individuen nahe dem Durchschnitt seltener. Welche Art der natürlichen Selektion erzeugt dieses Muster?,Stabilisierende Selektion,A-KNOW-04-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-04-de),2026-09-15,MIT (underlying source)
E-KNOW-06-en,E,knowledge,en,What two closely related genetic problems make small populations especially prone to a self-reinforcing decline toward extinction?,Inbreeding and loss of genetic variation,A-KNOW-05-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-05-en),2026-09-15,MIT (underlying source)
E-KNOW-06-de,E,knowledge,de,Welche zwei eng miteinander verbundenen genetischen Probleme machen kleine Populationen besonders anfällig für einen sich selbst verstärkenden Rückgang bis hin zum Aussterben?,Inzucht und Verlust genetischer Variation,A-KNOW-05-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-05-de),2026-09-15,MIT (underlying source)
E-KNOW-07-en,E,knowledge,en,"Which metabolic pathway allows glycolysis to keep producing ATP under anaerobic conditions, by regenerating the NAD+ that glycolysis itself consumes?",Fermentation,A-KNOW-07-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-07-en),2026-09-15,MIT (underlying source)
E-KNOW-07-de,E,knowledge,de,"Welcher Stoffwechselweg ermöglicht es der Glykolyse, unter anaeroben Bedingungen weiterhin ATP zu produzieren, indem er das von der Glykolyse selbst verbrauchte NAD+ regeneriert?",Gärung,A-KNOW-07-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-07-de),2026-09-15,MIT (underlying source)
E-KNOW-08-en,E,knowledge,en,"Evolutionary change happens through shifts in the genetic makeup of a population, not within any single organism during its own lifetime. What is the actual unit that changes when natural selection acts?",A population's gene (allele) frequency,A-KNOW-08-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-08-en),2026-09-15,MIT (underlying source)
E-KNOW-08-de,E,knowledge,de,"Evolutionärer Wandel entsteht durch Verschiebungen in der genetischen Zusammensetzung einer Population, nicht innerhalb eines einzelnen Organismus während seiner eigenen Lebenszeit. Was ist die tatsächliche Einheit, die sich ändert, wenn natürliche Selektion wirkt?",Die Genfrequenz (Allelfrequenz) einer Population,A-KNOW-08-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-08-de),2026-09-15,MIT (underlying source)
E-KNOW-09-en,E,knowledge,en,"How does the nervous system encode how strong a sensory stimulus is, given that individual action potentials are all the same size?",By varying the number of action potentials fired per second (firing rate),A-KNOW-16-en,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-16-en),2026-09-15,MIT (underlying source)
E-KNOW-09-de,E,knowledge,de,"Wie kodiert das Nervensystem, wie stark ein sensorischer Reiz ist, obwohl einzelne Aktionspotentiale alle gleich groß sind?",Durch die Variation der Anzahl der Aktionspotentiale pro Sekunde (Feuerungsrate),A-KNOW-16-de,concept-restatement,accepted,Perturbed from li-lab/MMLU-ProX item (A-KNOW-16-de),2026-09-15,MIT (underlying source)
